No.  ,,,,,,Price  
,,,No image source  ,,MOQ  ,0.00  
1.0  ,HGR-905  ,4-Burner Gas Range With Gas Oven  ,,Dimension:800*900*920mm Oven Dimensions:550*680*270mm LPG2800-3700Pa:2.62kg/h NG2000-2500Pa:3.70m3/H P S l 7  5 4 5 8KW  ,5  ,577.50  
2.0  ,HGR-905A  ,4-Burner Gas Range With Electric Oven  ,,Dimension:800*900*920mm Oven Dimensions:550*680*270mm LPG2800-3700Pa:2.62kg/h NG2000-2500Pa:3.70m3/H P S 7 5  4 5 8 W  ,5  ,549.30  
3.0  ,HGR-705  ,4-Burner Gas Range With Gas Oven  ,,Dimension:700*700*920mm Oven Dimensions:550*550*270mm LPG2800-3700Pa:2.06kg/H NG2000-2500Pa:3.07m3/H P S l 7  5 4 5 8KW  ,5  ,549.30  
4.0  ,HGR-705A  ,4-Burner Gas Range With Electric Oven  ,,Dimension:700*700*920mm Oven Dimensions:550*550*270mm LPG2800-3700Pa:2.06kg/H NG2000-2500Pa:3.07m3/H P S 7 5  4 5 8 W  ,5  ,521.10  
5.0  ,HGR-905B  ,Gas 4-Burner Range with Cabinet  ,,Dimesnion:800*900*920mm LPG2800-3700Pa:2.06Kg/H NG2000-2500Pa:3.07m3/H Power Supply:7.5 x 4KW  ,5  ,436.60  
6.0  ,HGR-705B  ,Gas 4-Burner Range with Cabinet  ,,Dimesnion:700*700*920mm LPG2800-3700Pa:2.06Kg/H NG2000-2500Pa:3.07m3/H Power Supply:7.5 x 4KW  ,5  ,408.50  
7.0  ,HX-905Z  ,Gas 4-Burner Range with Gas Oven  ,,Dimension:800*900*920mm Oven Dimension:550*680*270mm LPG2800-3700Pa:2.10kg/H NG2000-2500Pa2.81m3/H P  ,5  ,612.70  
8.0  ,HX-905ZA  ,Gas 4-Burner Range with Electric Oven  ,,Dimension:800*900*920mm Oven Dimension:550*680*270mm LPG2800-3700Pa:2.10kg/H NG2000-2500Pa2.81m3/H P  ,5  ,577.50  
9.0  ,HGR-905ZB  ,Gas 4-Burner Range with Cabinet  ,,Dimension:800*900*920mm LPG2800-3700Pa:1.73kg/H NG2000-2500Pa:2.33m3/h Power Supply:7.5x2+4.5x2KW  ,5  ,471.80  
No.  ,Unique Model Code  ,Product's Name  ,No image source  ,Specification  ,,0.00  
,,,No image source  ,,MOQ  ,0.00  
10.0  ,HGR-996  ,Gas 6-Burner Range With Gas Oven  ,,Dimension:1200*900*920mm Oven Dimension:550*680*270mm LPG2800-3700Pa:3.55Kg/H NG2000-2500Pa:5.26m3/H P S 7 5  6 5 8KW  ,5  ,725.40  
11.0  ,HGR-776  ,Gas 6-Burner Range With Gas Oven  ,,Dimension:1050*700*920mm Oven Dimension:560*600*270mm LPG2800-3700Pa:3.55 kg/H NG2000-2500Pa:5.26m3/H P S l 7  5 6 5 8KW  ,5  ,697.20  
12.0  ,HGR-996A  ,Gas 6-Burner Range With Electric Oven  ,,Dimension:1200*900*920mm Oven Dimension:550*680*270mm LPG2800-3700Pa:3.34Kg/H NG2000-2500Pa:4.85m3/H P S 7 5  6 4 8KW  ,5  ,683.10  
13.0  ,HGR-776A  ,Gas 6-Burner Range With Electric Oven  ,,Dimension:1050*700*920mm Oven Dimension:550*550*270mm Power Supply:7.5x6+4.8KW  ,5  ,654.90  
14.0  ,HGR-996B  ,Gas 6-Burner Range with Cabinet  ,,Dimension:1200*900*920mm LPG 2800-3700Pa:3.34/2.4kg/H NG2000-2500Pa:4.66/3.49m3/H Power Supply:7.5x3+4.5x3KW  ,5  ,549.30  
15.0  ,HGR-996ZB  ,Gas 6-Burner Range with Cabinet ( Silver burner)  ,,Dimension:1200*900*920mm LPG 2800-3700Pa:3.34/2.4kg/H NG2000-2500Pa:4.66/3.49m3/H Power Supply:7.5x3+4.5x3KW  ,5  ,605.60  
16.0  ,HGR-776B  ,Gas 6-Burner Range with Cabinet  ,,Dimension:1050*700*920mm LPG 2800-3700Pa:3.34kg/H NG2000-2500Pa:4.66m3/H Power Supply:7.5 x 6KW  ,5  ,507.00  
17.0  ,HGR-996Z  ,Gas 6-Burner Range With GasOven  ,,Dimension:1200*900*920mm Oven Dimension:550*680*270mm LPG2800-3700Pa:2.96Kg/H NG2000-2500Pa:3.98m3/H P  ,5  ,767.60  
18.0  ,HGR-996ZA  ,Gas 6-Burner Range With Electric Oven  ,,Dimension:1200*900*920mm Oven Dimension:550*680*270mm LPG2800-3700Pa:2.96Kg/H NG2000-2500Pa:3.98m3/H P  ,5  ,704.20  
19.0  ,HGR-998  ,Gas Range 4- Burner Stove & Griddle & Oven  ,,Dimension:1200*900*920mm Oven Dimension:550*680*270mm Power Supply:7.5x4+5.8+5.8KW  ,5  ,753.50  
